company,country,city,career_url,tracks,notes
Google,Switzerland,Zurich,https://careers.google.com/jobs/results/,AIE/MLE;SDE,High-priority big-company target
Microsoft,Germany,Berlin,https://jobs.careers.microsoft.com/global/en/search,AIE/MLE;SDE,Graduate and cloud roles
SAP,Germany,Berlin,https://jobs.sap.com/,AIE/MLE;SDE,Large German employer, broad junior pipeline
Siemens,Germany,Munich,https://jobs.siemens.com/careers,AIE/MLE;SDE,Industrial AI and platform roles
Bosch,Germany,Berlin,https://www.bosch.com/careers/,AIE/MLE;SDE,Large employer with AI and software roles
BMW,Germany,Munich,https://www.bmwgroup.jobs/,AIE/MLE;SDE,Graduate and software roles
Booking.com,Netherlands,Amsterdam,https://jobs.booking.com/careers,AIE/MLE;SDE,Large tech employer in Amsterdam
ASML,Netherlands,Veldhoven,https://www.asml.com/en/careers/find-your-job,AIE/MLE;SDE,Large engineering employer, strong grad fit
ING,Netherlands,Amsterdam,https://www.ing.jobs/global/careers/job-opportunities.htm,SDE,Large bank with engineering programs
Amazon,United Kingdom,London,https://www.amazon.jobs/,AIE/MLE;SDE,Large sponsor-capable employer
Bloomberg,United Kingdom,London,https://www.bloomberg.com/company/careers/,AIE/MLE;SDE,Strong new-grad engineering target
DeepMind,United Kingdom,London,https://deepmind.google/careers/,AIE/MLE,High-reach AI research and engineering target
Meta,Ireland,Dublin,https://www.metacareers.com/jobs,AIE/MLE;SDE,Large sponsor-capable employer
Stripe,Ireland,Dublin,https://stripe.com/jobs,AIE/MLE;SDE,Strong software target
Workday,Ireland,Dublin,https://workday.wd5.myworkdayjobs.com/Workday,SDE,Large Dublin engineering employer
