company,title,location,url,posted_date,workplace,company_size,employment_type,source,description,status,applied_date,next_action,notes
Northstar Labs,AI Engineer,"Berlin, Germany",https://jobs.example.com/northstar-labs/ai-engineer,2026-07-15,hybrid,51-200,contract,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation.",ready,,Review the application pack,Not submitted yet
Pinecone Robotics,Machine Learning Engineer,"Munich, Germany",https://jobs.example.com/pinecone-robotics/machine-learning-engineer,2026-07-14,onsite,201-500,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",submitted,2026-07-15,Follow up in one week,Applied through company site
Blue Harbor Analytics,Data Engineer,"Hamburg, Germany",https://jobs.example.com/blue-harbor-analytics/data-engineer,2026-07-13,hybrid,11-50,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation.",followed_up,2026-07-14,Wait for recruiter response,Follow-up sent
Juniper Cloudworks,Cloud AI Engineer,"Amsterdam, Netherlands",https://jobs.example.com/juniper-cloudworks/cloud-ai-engineer,2026-07-12,remote,501-1000,full-time,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI.",oa,2026-07-13,Complete the online assessment,Assessment due Friday
Emberline Systems,Applied AI Engineer,"Paris, France",https://jobs.example.com/emberline-systems/applied-ai-engineer,2026-07-11,hybrid,51-200,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation.",oa_failed,2026-07-12,Review assessment gaps,Did not pass the OA
Copper Finch,Backend Engineer,"Dublin, Ireland",https://jobs.example.com/copper-finch/backend-engineer,2026-07-10,remote,11-50,contract,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",interview_1,2026-07-11,Prepare project stories,Recruiter screen passed
Aurora Grid,MLOps Engineer,"Copenhagen, Denmark",https://jobs.example.com/aurora-grid/mlops-engineer,2026-07-09,onsite,201-500,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation.",interview_1_failed,2026-07-10,Record interview learnings,Technical screen did not pass
Silver Birch Health,NLP Engineer,"Zurich, Switzerland",https://jobs.example.com/silver-birch-health/nlp-engineer,2026-07-08,hybrid,1001-5000,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",interview_2,2026-07-09,Practice system design,Second round scheduled
Orbit Grove,Computer Vision Engineer,"Vienna, Austria",https://jobs.example.com/orbit-grove/computer-vision-engineer,2026-07-07,onsite,51-200,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation.",interview_2_failed,2026-07-08,Review system-design feedback,Closed after round two
Lighthouse Mobility,AI Platform Engineer,"Stockholm, Sweden",https://jobs.example.com/lighthouse-mobility/ai-platform-engineer,2026-07-06,hybrid,501-1000,full-time,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI.",final_interview,2026-07-07,Prepare final presentation,Panel interview next
Mosaic River,Product Data Scientist,"Prague, Czechia",https://jobs.example.com/mosaic-river/product-data-scientist,2026-07-05,remote,201-500,contract,company career page,"Demo role focused on Python, retrieval, and model evaluation.",final_interview_failed,2026-07-06,Close the loop,Final round completed
Cedar Peak Energy,Software Engineer - AI,"Oslo, Norway",https://jobs.example.com/cedar-peak-energy/software-engineer-ai,2026-07-04,hybrid,1001-5000,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",offer,2026-07-05,Review offer terms,Offer received
Velvet Circuit,Generative AI Engineer,"London, United Kingdom",https://jobs.example.com/velvet-circuit/generative-ai-engineer,2026-07-15,onsite,51-200,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation.",accepted,2026-07-04,Prepare for onboarding,Offer accepted
Atlas Orchard,Research Engineer,"Helsinki, Finland",https://jobs.example.com/atlas-orchard/research-engineer,2026-07-14,hybrid,11-50,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",rejected,2026-07-03,Archive application,Rejected after review
Quartz Harbor,Data Platform Engineer,"Lisbon, Portugal",https://jobs.example.com/quartz-harbor/data-platform-engineer,2026-07-13,remote,201-500,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation.",no_response,2026-07-02,Decide whether to follow up,No response after two weeks
Willow Signal,AI Solutions Engineer,"Brussels, Belgium",https://jobs.example.com/willow-signal/ai-solutions-engineer,2026-07-12,hybrid,501-1000,contract,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI.",withdrawn,2026-07-01,No action needed,Role no longer aligned
Nova Tern,Junior ML Engineer,"Madrid, Spain",https://jobs.example.com/nova-tern/junior-ml-engineer,2026-07-11,onsite,1-10,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation.",submitted,2026-06-30,Follow up next week,Easy Apply demo row
Saffron Stack,Full-stack AI Engineer,"Barcelona, Spain",https://jobs.example.com/saffron-stack/full-stack-ai-engineer,2026-07-10,remote,11-50,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",oa,2026-06-29,Complete take-home task,Assessment in progress
Echo Vale,Evaluation Engineer,"Tallinn, Estonia",https://jobs.example.com/echo-vale/evaluation-engineer,2026-07-09,hybrid,51-200,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation.",interview_1,2026-06-28,Prepare behavioral examples,First interview booked
Kiteworks Studio,AI Product Engineer,"Warsaw, Poland",https://jobs.example.com/kiteworks-studio/ai-product-engineer,2026-07-08,remote,201-500,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI.",offer,2026-06-27,Compare offer options,Verbal offer received
