company,title,location,url,posted_date,workplace,company_size,employment_type,source,description
Northstar Labs,AI Engineer,"Berlin, Germany",https://jobs.example.com/northstar-labs/ai-engineer,2026-07-15,hybrid,51-200,contract,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation."
Pinecone Robotics,Machine Learning Engineer,"Munich, Germany",https://jobs.example.com/pinecone-robotics/machine-learning-engineer,2026-07-14,onsite,201-500,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Blue Harbor Analytics,Data Engineer,"Hamburg, Germany",https://jobs.example.com/blue-harbor-analytics/data-engineer,2026-07-13,hybrid,11-50,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Juniper Cloudworks,Cloud AI Engineer,"Amsterdam, Netherlands",https://jobs.example.com/juniper-cloudworks/cloud-ai-engineer,2026-07-12,remote,501-1000,full-time,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI."
Emberline Systems,Applied AI Engineer,"Paris, France",https://jobs.example.com/emberline-systems/applied-ai-engineer,2026-07-11,hybrid,51-200,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Copper Finch,Backend Engineer,"Dublin, Ireland",https://jobs.example.com/copper-finch/backend-engineer,2026-07-10,remote,11-50,contract,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Aurora Grid,MLOps Engineer,"Copenhagen, Denmark",https://jobs.example.com/aurora-grid/mlops-engineer,2026-07-09,onsite,201-500,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation."
Silver Birch Health,NLP Engineer,"Zurich, Switzerland",https://jobs.example.com/silver-birch-health/nlp-engineer,2026-07-08,hybrid,1001-5000,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Orbit Grove,Computer Vision Engineer,"Vienna, Austria",https://jobs.example.com/orbit-grove/computer-vision-engineer,2026-07-07,onsite,51-200,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Lighthouse Mobility,AI Platform Engineer,"Stockholm, Sweden",https://jobs.example.com/lighthouse-mobility/ai-platform-engineer,2026-07-06,hybrid,501-1000,full-time,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI."
Mosaic River,Product Data Scientist,"Prague, Czechia",https://jobs.example.com/mosaic-river/product-data-scientist,2026-07-05,remote,201-500,contract,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Cedar Peak Energy,Software Engineer - AI,"Oslo, Norway",https://jobs.example.com/cedar-peak-energy/software-engineer-ai,2026-07-04,hybrid,1001-5000,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Velvet Circuit,Generative AI Engineer,"London, United Kingdom",https://jobs.example.com/velvet-circuit/generative-ai-engineer,2026-07-15,onsite,51-200,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation."
Atlas Orchard,Research Engineer,"Helsinki, Finland",https://jobs.example.com/atlas-orchard/research-engineer,2026-07-14,hybrid,11-50,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Quartz Harbor,Data Platform Engineer,"Lisbon, Portugal",https://jobs.example.com/quartz-harbor/data-platform-engineer,2026-07-13,remote,201-500,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Willow Signal,AI Solutions Engineer,"Brussels, Belgium",https://jobs.example.com/willow-signal/ai-solutions-engineer,2026-07-12,hybrid,501-1000,contract,LinkedIn,"Demo role focused on cloud platforms, data pipelines, and production AI."
Nova Tern,Junior ML Engineer,"Madrid, Spain",https://jobs.example.com/nova-tern/junior-ml-engineer,2026-07-11,onsite,1-10,full-time,company career page,"Demo role focused on Python, retrieval, and model evaluation."
Saffron Stack,Full-stack AI Engineer,"Barcelona, Spain",https://jobs.example.com/saffron-stack/full-stack-ai-engineer,2026-07-10,remote,11-50,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
Echo Vale,Evaluation Engineer,"Tallinn, Estonia",https://jobs.example.com/echo-vale/evaluation-engineer,2026-07-09,hybrid,51-200,full-time,LinkedIn,"Demo role focused on Python, retrieval, and model evaluation."
Kiteworks Studio,AI Product Engineer,"Warsaw, Poland",https://jobs.example.com/kiteworks-studio/ai-product-engineer,2026-07-08,remote,201-500,full-time,company career page,"Demo role focused on cloud platforms, data pipelines, and production AI."
